LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE,CITY
bhaisepati,45000000,1711.25,16,east-north,2.5,5.0,5.0,4.0,lalitpur
tokha,24000000,1026.75,11,south,3.0,5.0,3.0,6.0,kathmandu
budhanilkantha,33500000,1369.0,13,north,3.0,10.0,5.0,23.0,kathmandu
hattigaunda,34500000,1437.45,13,west,2.0,5.0,5.0,2.0,kathmandu
imadol,36500000,1437.45,13,east,2.5,5.0,5.0,5.0,lalitpur
nakhipot,25500000,1095.2,20,east,2.5,9.0,7.0,11.0,lalitpur
ganesh chowk,22500000,1369.0,12,east,2.5,,,3.0,kathmandu
dhapasi,51000000,2053.5,20,east,2.5,4.0,2.0,2.0,kathmandu
machhegaun ,45000000,2738.0,13,east-north,2.5,5.0,4.0,6.0,kathmandu
birendra chowk,40000000,1711.25,14,north,3.0,7.0,5.0,11.0,kathmandu
 lolang,18500000,1403.225,10,south-west,2.5,6.0,3.0,3.0,kathmandu
bhaisepati,28000000,1437.45,16,north,1.0,2.0,1.0,4.0,lalitpur
ganesh chowk,32500000,1437.45,13,south,2.5,4.0,4.0,6.0,kathmandu
narayanthan ,45000000,2053.5,18,west,2.0,4.0,4.0,5.0,kathmandu
nagarjun,25000000,1060.9750000000001,16,east-north,2.5,4.0,3.0,7.0,kathmandu
bhaisepati,,2053.5,18,south,2.5,4.0,5.0,5.0,lalitpur
 satungal,18000000,1232.1000000000001,16,east,2.5,5.0,4.0,4.0,kathmandu
ganesh chowk,35000000,1369.0,13,east,2.5,5.0,4.0,4.0,kathmandu
imadol,18500000,1026.75,12,north,2.5,4.0,4.0,21.0,lalitpur
grande villa,28000000,1369.0,26,east,2.5,6.0,3.0,11.0,kathmandu
thecho,85000000,2395.75,12,east,3.5,5.0,7.0,3.0,lalitpur
thecho,26000000,1369.0,10,south,2.5,4.0,3.0,8.0,lalitpur
hattigaunda,47000000,1711.25,12,,2.5,,,7.0,kathmandu
gwarko,29500000,1026.75,13,west,3.5,4.0,4.0,2.0,lalitpur
bhaisepati,25000000,1095.2,20,north,2.5,4.0,4.0,21.0,lalitpur
khadka gaun,33000000,1369.0,13,west,2.0,5.0,4.0,8.0,kathmandu
gaurighat,50000000,2053.5,9,north,3.0,5.0,5.0,17.0,kathmandu
chyasundole,,1026.75,12,north-west,3.0,6.0,3.0,5.0,kathmandu
pasikot,36000000,1711.25,13,north,2.5,5.0,4.0,4.0,kathmandu
ranibari,35000000,1369.0,22,west,3.0,6.0,3.0,9.0,kathmandu
pepsicola,33000000,1129.425,20,east-south,2.5,4.0,3.0,5.0,kathmandu
bhaisepati,39900000,1437.45,16,south,2.5,5.0,5.0,5.0,lalitpur
shankhamul,68000000,2121.9500000000003,20,east-north,3.5,7.0,3.0,5.0,kathmandu
naikap,47500000,2806.45,13,north,3.0,7.0,6.0,1.0,kathmandu
dhapasi,33000000,1711.25,12,east,2.5,4.0,4.0,3.0,kathmandu
baluwakhani,17000000,1095.2,13,east,1.0,2.0,1.0,4.0,kathmandu
 chamati,27000000,855.625,20,south,3.0,5.0,3.0,5.0,kathmandu
thulobharyang,100000000,2635.3250000000003,13,north,2.5,5.0,3.0,5.0,kathmandu
imadol,22000000,1026.75,20,west,2.5,4.0,4.0,3.0,lalitpur
sukedhara,,1711.25,14,east-south,2.5,4.0,5.0,26.0,kathmandu
balkumari,66000000,1540.125,16,east-north,4.5,3.0,6.0,17.0,lalitpur
hattigaunda,34500000,1711.25,14,east,2.5,4.0,5.0,16.0,kathmandu
sitapaila,29500000,1711.25,13,north,2.5,4.0,5.0,4.0,kathmandu
dahachowk,29000000,1813.925,13,north,2.5,4.0,5.0,18.0,kathmandu
thankot,11500000,752.95,13,west,2.0,4.0,2.0,7.0,kathmandu
mandikhatar,25000000,1026.75,13,east-south,2.5,10.0,5.0,5.0,kathmandu
pasikot,22500000,1095.2,20,south,2.5,4.0,3.0,11.0,kathmandu
tikathali,25000000,1095.2,18,south,3.0,6.0,3.0,5.0,lalitpur
 raniban,30000000,1540.125,16,north,2.5,5.0,4.0,4.0,kathmandu
karyabinayak,,1026.75,10,north-west,2.5,4.0,3.0,5.0,lalitpur
bafal,37500000,1369.0,13,east,2.0,7.0,4.0,7.0,kathmandu
setipakha,26500000,1369.0,13,west,3.0,8.0,8.0,11.0,lalitpur
budhanilkantha,34500000,1369.0,13,east,2.5,6.0,3.0,8.0,kathmandu
hepali height,33000000,1369.0,14,north,2.5,6.0,4.0,27.0,kathmandu
