price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,no_of_flat
28000000.0,"Tikathali, Lalitpur",1069.53,east,6.0,4.0,1.0,2.5,4.0,13.0,fully-furnished,2.5
36500000.0,"Bhaisepati, Lalitpur",1369.0,north,4.0,5.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
33000000.0,Near Ganesh chowk,1069.53,west,6.0,4.0,1.0,2.5,4.0,14.0,fully-furnished,2.5
49500000.0,"Imadol, Lalitpur",1625.68,west,6.0,3.0,1.0,3.5,6.0,13.0,semi-furnished,3.5
29500000.0,"Imadol, Lalitpur",1197.87,south,6.0,5.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
42000000.0,"Bafal, Kathmandu",1711.25,east-south,4.0,4.0,1.0,3.0,3.0,11.0,semi-furnished,3.0
24000000.0,"Kritipur, Kathmandu",1219.26,west,7.0,4.0,1.0,4.0,4.0,13.0,fully-furnished,4.0
57500000.0,"Hattigauda, Budhanilkantha",2139.06,west,5.0,4.0,2.0,3.0,4.0,20.0,semi-furnished,3.0
57500000.0,"Hattigauda, Budhanilkantha",2139.06,west,5.0,4.0,1.0,3.0,4.0,20.0,semi-furnished,3.0
47000000.0,"Italitar, Budhanilkantha",1711.25,south,4.0,6.0,2.0,3.0,3.0,13.0,semi-furnished,3.0
75000000.0,"Budhanilkantha, Kathmandu",3080.25,south,5.0,5.0,1.0,3.0,3.0,13.0,semi-furnished,3.0
48500000.0,"Dholahiti, Lalitpur",1711.25,north,5.0,6.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
35000000.0,"Sitapaila, Kathmandu",1197.87,east-south,5.0,5.0,1.0,2.5,3.0,22.0,semi-furnished,2.5
52500000.0,Khadka gaun,2224.62,south,6.0,3.0,2.0,3.0,3.0,13.0,semi-furnished,3.0
67000000.0,"Pasikot, Budhanilkantha",1796.81,east,7.0,5.0,2.0,3.0,5.0,20.0,fully-furnished,3.0
52500000.0,"Budhanilkantha, Kathmandu",1518.73,east,4.0,6.0,1.0,3.0,3.0,20.0,semi-furnished,3.0
60000000.0,"Budhanilkantha, Kathmandu",2738.0,north-west,7.0,5.0,2.0,5.0,5.0,22.0,semi-furnished,5.0
39500000.0,"Shital height, Imadol",1540.12,west,7.0,6.0,2.0,3.0,5.0,13.0,fully-furnished,3.0
24000000.0,Near to CG Lakeview Housing,1112.31,east,5.0,3.0,2.0,3.0,4.0,16.0,semi-furnished,3.0
43500000.0,Near LRI School,2053.5,north,10.0,6.0,4.0,5.0,7.0,16.0,semi-furnished,5.0
38000000.0,"Swoyambhu, Karkhana Chowk",1540.12,east-north,6.0,3.0,2.0,4.0,5.0,13.0,semi-furnished,4.0
70000000.0,"Sitapaila, Kathmandu",3058.85,north-west,6.0,4.0,2.0,4.0,7.0,13.0,semi-furnished,4.0
9500000.0,"Itumbahal,Yatkha ",5476.0,south,2.0,2.0,1.0,1.0,10.0,16.0,semi-furnished,1.0
31000000.0,"Simchaphat,Gurjudhara ",1133.7,south-west,5.0,4.0,2.0,4.0,5.0,12.0,semi-furnished,4.0
33000000.0,"Mahalaxmisthan, Lagankhel",1026.75,east-south,6.0,3.0,1.0,3.0,6.0,11.0,semi-furnished,3.0
14000000.0,Near LRI School,1112.31,east,4.0,3.0,2.0,3.0,1.0,4.0,semi-furnished,3.0
26000000.0,"Dhapakhel, lalitpur",1026.75,east,3.0,3.0,1.0,2.5,4.0,20.0,semi-furnished,2.5
27500000.0,100 meters from Civil Home,1369.0,north,7.0,3.0,3.0,3.0,4.0,13.0,semi-furnished,3.0
38000000.0,Namgyal Chowk,1197.87,east-north,8.0,4.0,3.0,3.0,4.0,13.0,fully-furnished,3.0
19000000.0,"Thankot, kathmandu",1026.75,east,6.0,3.0,1.0,3.0,4.0,14.0,semi-furnished,3.0
19500000.0,"Naikap, Basantatol ",1369.0,east,6.0,3.0,1.0,3.0,4.0,12.0,semi-furnished,3.0
26500000.0,"Pasikot, budhanilkantha",1026.75,east-north,5.0,4.0,1.0,3.0,4.0,13.0,semi-furnished,3.0
95500000.0,"Sanepa, lalitpur",3593.62,north,5.0,4.0,1.0,3.0,7.0,10.0,semi-furnished,3.0
20000000.0,"Kathmandu ,Dhumbarai-4,Near pipal bot chowk.",1197.87,north,6.0,2.0,1.0,2.5,2.0,8.0,un-furnished,2.5
24000000.0,"Sanagaun, Lalitpur",1026.75,east,6.0,4.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
24500000.0,"Tikathali, Lalitpur",1112.31,west,5.0,3.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
27500000.0,"Sanagaun, Lalitpur",1197.87,east-south,6.0,4.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
27000000.0,"Tikathali, Lalitpur",1026.75,north,5.0,4.0,1.0,3.0,4.0,13.0,semi-furnished,3.0
27500000.0,"Tikathali, lalitpur",1197.87,south,5.0,4.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
27000000.0,"Tikathali, Lalitpur",1197.87,north,5.0,4.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
32000000.0,1 km from deuba chowk,1711.25,west,4.0,3.0,1.0,2.5,4.0,13.0,semi-furnished,2.5
42500000.0,"Shital Height, Imadol",1454.56,north-west,7.0,6.0,2.0,4.0,4.0,16.0,semi-furnished,4.0
35000000.0,Imadol Tempo Park,1112.31,north,6.0,4.0,2.0,3.0,5.0,13.0,semi-furnished,3.0
29500000.0,"Halchowk, Single Tree",1026.75,west,6.0,5.0,2.0,6.0,4.0,13.0,semi-furnished,6.0
60000000.0,Ishan Colony,2823.56,east-south,5.0,3.0,1.0,3.0,5.0,16.0,semi-furnished,3.0
110000000.0,Sanepa Chowk,3764.75,south,7.0,5.0,1.0,4.0,8.0,10.0,semi-furnished,4.0
22500000.0,"Hattiban, Lalitpur",919.79,south,5.0,2.0,1.0,3.0,4.0,12.0,semi-furnished,3.0
33000000.0,near Bhatbhateni,1112.31,south,6.0,4.0,2.0,4.0,4.0,26.0,semi-furnished,4.0
44500000.0,Mahalaxmi,1369.0,north-west,6.0,6.0,2.0,4.0,4.0,26.0,semi-furnished,4.0
70000000.0,"Sunrise Height, Raniban",2909.12,south,6.0,5.0,2.0,4.0,4.0,13.0,fully-furnished,4.0
17500000.0,"Kalanki, kathmandu",941.18,south,5.0,3.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
29000000.0,Near LRI,1197.87,east-south,7.0,5.0,3.0,4.0,4.0,15.0,semi-furnished,4.0
48000000.0,"Deuba chowk, Budhanilkantha",2395.75,east-south,3.0,3.0,1.0,3.0,1.0,13.0,semi-furnished,3.0
31500000.0,Ochu Height,1112.31,east,5.0,4.0,2.0,4.0,1.0,13.0,fully-furnished,4.0
32500000.0,"Rajkulo, Imadol",1197.87,west,5.0,4.0,2.0,3.0,1.0,13.0,semi-furnished,3.0
29000000.0,"Rajkulo, Imadol",1112.31,south,6.0,5.0,2.0,4.0,1.0,13.0,semi-furnished,4.0
46000000.0,Rumba Chwok,1369.0,east-north,6.0,6.0,2.0,3.5,3.0,20.0,semi-furnished,3.5
32500000.0,"Rajkulo, Imadol",1112.31,west,5.0,4.0,2.0,4.0,3.0,13.0,fully-furnished,4.0
32500000.0,Yellow Gumba,1369.0,east-south,5.0,6.0,2.0,2.5,3.0,16.0,fully-furnished,2.5
31000000.0,"Manjurshree tole, bhaisepati",1326.21,west,3.0,4.0,2.0,3.0,1.0,13.0,semi-furnished,3.0
43000000.0,Bhaisepati near Mediciti Hospital,1711.25,south,6.0,5.0,2.0,3.0,1.0,13.0,semi-furnished,3.0
35000000.0,Bhaisepati near Mediciti hospital,1283.43,south,4.0,4.0,1.0,3.0,1.0,12.0,semi-furnished,3.0
26000000.0,700 meter from Medicity hospital,1026.75,east,4.0,4.0,1.0,3.0,1.0,14.0,semi-furnished,3.0
25000000.0,Radha krishna mandir,1026.75,east-south,4.0,4.0,2.0,2.5,3.0,13.0,un-furnished,2.5
30000000.0, Green Hill Academy and Milandhamsthali,1925.15,east-south,5.0,5.0,2.0,2.5,4.0,13.0,fully-furnished,2.5
42500000.0,Ochu Height,1454.56,east,5.0,4.0,3.0,2.5,4.0,13.0,semi-furnished,2.5
67000000.0,Balkumari,1882.37,south,4.0,4.0,2.0,3.0,1.0,13.0,fully-furnished,3.0
64000000.0,Near Triton college,1839.59,south,4.0,4.0,2.0,3.0,1.0,13.0,fully-furnished,3.0
45000000.0,pasikot,1454.56,east,6.0,2.0,2.0,2.5,2.0,13.0,semi-furnished,2.5
47500000.0,"Sano bharyang Colony,Ward no.2",1437.45,east-south,4.0,4.0,1.0,2.5,3.0,20.0,semi-furnished,2.5
24500000.0,2.5 km from kalanki,1518.73,east,8.0,5.0,3.0,3.0,2.0,13.0,semi-furnished,3.0
100000000.0,Sano bharyang Colony,4449.25,south-west,5.0,5.0,1.0,3.0,10.0,20.0,semi-furnished,3.0
95000000.0,"Sitapaila,Comfort housing",4620.37,south,5.0,3.0,1.0,2.5,10.0,20.0,fully-furnished,2.5
46500000.0,"Sanagaun, lalitpur",1711.25,west,4.0,5.0,2.0,3.0,1.0,20.0,fully-furnished,3.0
46500000.0,"Sanagau, Lalitpur",1625.68,east,5.0,6.0,2.0,3.0,1.0,13.0,semi-furnished,3.0
37500000.0,"Ochu Height, Imadol",1454.56,south,4.0,5.0,2.0,3.0,1.0,13.0,fully-furnished,3.0
33500000.0,"Ochu height, Imadol",1112.31,south,5.0,5.0,2.0,3.0,1.0,13.0,fully-furnished,3.0
33500000.0,"Shital height, Imadol",1112.31,north,5.0,5.0,3.0,3.0,1.0,13.0,fully-furnished,3.0
21500000.0,Chandragiri,1069.53,east,5.0,3.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
31999999.0,"Imadol,Lalitpur",1069.53,,6.0,5.0,2.0,2.0,2.0,,,3.0
32499999.0,"Imadol,Lalitpur",1112.3125,,6.0,4.0,1.0,2.0,2.0,,,3.0
18900000.0,"Setipakha,Lalitpur",855.625,,4.0,3.0,1.0,1.0,1.0,,,2.0
15500000.0,"Tikathali,Lalitpur",1026.75,,2.0,1.0,1.0,1.0,1.0,,,1.5
15500000.0,"Tikathali,Lalitpur",1026.75,,2.0,1.0,1.0,1.0,1.0,,,1.5
29000000.0,"Shital Height,Lalitpur",1069.53,,5.0,4.0,1.0,2.0,1.0,,,3.5
32500000.0,"Imadol,Lalitpur",1069.53,,5.0,4.0,1.0,2.0,1.0,,,4.0
11500000.0,"Ward 8 salakpur,Morang",,,4.0,2.0,1.0,1.0,2.0,,,2.5
29000000.0,"Tikathali,Lalitpur",1133.7,,5.0,4.0,2.0,2.0,1.0,,,3.5
40000000.0,"Bansbari,Kathmandu",1369.0,,6.0,4.0,2.0,2.0,1.0,,,3.0
60000000.0,"Bansbari,Kathmandu",1967.93,,5.0,4.0,1.0,1.0,1.0,,,2.5
50000000.0,"Basundhara,Kathmandu",1711.25,,5.0,4.0,2.0,2.0,1.0,,,2.5
50000000.0,"Hattigauda,Kathmandu",1711.25,,7.0,5.0,2.0,2.0,1.0,,,3.5
40000000.0,"Hattigauda,Kathmandu",1540.125,,6.0,4.0,2.0,2.0,1.0,,,2.5
48000000.0,"Hattigauda,Kathmandu",2566.875,,6.0,5.0,2.0,2.0,1.0,,,3.5
42500000.0,"Hattigauda,Kathmandu",1369.0,,5.0,3.0,2.0,2.0,1.0,,,2.5
28000000.0,"Pepsicola,Kathmandu",855.62,,5.0,4.0,2.0,2.0,1.0,,,3.5
25000000.0,"Balkot,Bhaktapur",1197.875,,6.0,3.0,2.0,2.0,2.0,,,2.5
32500000.0,"Kumaripati,Lalitpur",1437.45,,8.0,4.0,1.0,2.0,1.0,,,3.5
51000000.0,"Hattiban,Lalitpur",1540.12,,5.0,4.0,2.0,2.0,1.0,,,2.5
23000000.0,"Hattiban,Lalitpur",941.18,,5.0,4.0,2.0,2.0,1.0,,,2.5
30000000.0,"Imadol,Lalitpur",1197.875,,5.0,5.0,1.0,2.0,1.0,,,2.5
24500000.0,"Imadol,Lalitpur",1026.75,,5.0,4.0,1.0,2.0,2.0,,,2.5
14000000.0,"Sanagau,Lalitpur",1219.26,,2.0,1.0,1.0,1.0,1.0,,,1.5
31999999.0,"Imadol,Lalitpur",1069.53,,6.0,5.0,2.0,2.0,2.0,,,3.0
32499999.0,"Imadol,Lalitpur",1112.3125,,6.0,4.0,1.0,2.0,2.0,,,3.0
18900000.0,"Setipakha,Lalitpur",855.625,,4.0,3.0,1.0,1.0,1.0,,,2.0
15500000.0,"Tikathali,Lalitpur",1026.75,,2.0,1.0,1.0,1.0,1.0,,,1.5
15500000.0,"Tikathali,Lalitpur",1026.75,,2.0,1.0,1.0,1.0,1.0,,,1.5
29000000.0,"Shital Height,Lalitpur",1069.53,,5.0,4.0,1.0,2.0,1.0,,,3.5
32500000.0,"Imadol,Lalitpur",1112.31,,5.0,4.0,1.0,2.0,1.0,,,4.0
